instant;Date;Season;Holiday;Weather;Temp;Feel_Temp;Hum;Wind;Casual;Registered;cnt
1;1/01/2020;Springer;No;Mist + Cloudy;8,175849;9,090375;0,805833;10,749882;331;654;985
2;2/01/2020;Springer;No;Mist + Cloudy;9,083466;8,625733;0,696087;-16,652113;131;670;801
3;3/01/2020;Springer;No;Few clouds;1,229108;0,902035;0,437273;16,636703;120;1229;1349
4;4/01/2020;Springer;No;Few clouds;1,4;1,969734;0,590435;10,739832;108;1454;1562
5;5/01/2020;Springer;No; Partly    cloudy;2,666979;2,77569;0,436957;12,5223;82;1518;1600
6;6/01/2020;Springer;No;Clear;1,604356;2,960823;0,518261;6,0008684;88;1518;1606
7;7/01/2020;Springer;No;Mist;1,236534;1,815433;0,498696;11,304642;148;1362;1510
8;8/01/2020;Springer;No;Mist + Broken clouds;-0,245;-0,374062;0,535833;17,875868;68;891;959
9;9/01/2020;Springer;No; Partly cloudy;-1,498349;-2,539775;0,434167;24,25065;54;768;822
10;10/01/2020;Springer;No; Partly    cloudy;-0,910849;-0,908264;0,482917;14,958889;41;1280;1321
11;11/01/2020;Springer;No;Mist;-0,052723;0,998808;0,686364;8,182844;43;1220;1263
12;12/01/2020;Springer;No; Partly cloudy;0,118169;-0,457769;0,599545;20,410009;25;1137;1162
13;13/01/2020;Springer;No; Partly cloudy;-0,245;-0,908499;0,470417;20,167;38;1368;1406
14;14/01/2020;Springer;No;Few clouds;-0,43911;0,855411;0,537826;8,478716;54;1367;1421
15;15/01/2020;Springer;No;Mist + Few clouds;2,966651;3,661264;0,49875;10,583521;222;1026;1248
16;16/01/2020;Springer;No; Partly cloudy;2,888349;3,008199;0,48375;12,625011;251;953;1204
17;17/01/2020;Springer;Yes;Mist + Few clouds;0,264151;0,308237;0,5375;12,999139;117;883;1000
18;18/01/2020;Springer;No;Mist;2,183349;2,919651;0,861667;9,833925;9;674;683
19;19/01/2020;Springer;No;Mist;5,732178;6,025834;0,741739;13,957239;78;1572;1650
20;20/01/2020;Springer;No;Mist + Cloudy;4,298349;3,98735;0,538333;13,125568;83;1844;1927
21;21/01/2020;Springer;No; Partly cloudy;0,3425;-0,581849;0,457083;23,667214;75;1468;1543
22;22/01/2020;Springer;No;Clear;-5,2208712;-4,2837288;0,4;11,52199;93;888;981
23;23/01/2020;Springer;No; Partly    cloudy;-3,4634801;-3,3545623;0,436522;16,5222;150;836;986
24;24/01/2020;Springer;No;Clear;-3,4226089;-2,45729;0,491739;10,60811;86;1330;1416
25;25/01/2020;Springer;No;Mist;2,503466;3,022722;0,616957;8,696332;186;1799;1985
26;26/01/2020;Springer;No;Rain + Thunderstorm;2,2225;1,5692;0,8625;19,68795;34;472;506
27;27/01/2020;Springer;No; Partly    cloudy;1,165;2,3259;0,6875;7,627079;15;416;431
28;28/01/2020;Springer;No;Mist + Few clouds;1,563466;2,495899;0,793043;8,2611;38;1129;1167
29;29/01/2020;Springer;No; Partly cloudy;1,236534;1,969922;0,651739;9,739455;123;975;1098
30;30/01/2020;Springer;No; Partly cloudy;2,176534;3,765134;0,722174;4,9568342;140;956;1096
31;31/01/2020;Springer;No;Mist;0,499151;0,75375;0,60375;12,541864;42;1459;1501
32;1/02/2020;Springer;No;Mist;1,032178;3,02291;0,829565;3,565271;47;1313;1360
33;2/02/2020;Springer;No;Mist + Broken clouds;4,22;3,957599;0,775417;17,708636;72;1454;1526
34;3/02/2020;Springer;No; Partly cloudy;0,786979;0,360266;0,437826;18,609384;61;1489;1550
35;4/02/2020;Springer;No;Mist + Broken clouds;1,931288;2,743589;0,585217;8,565213;88;1620;1708
36;5/02/2020;Springer;No;Mist;2,966651;3,423726;0,929167;10,792293;100;905;1005
37;6/02/2020;Springer;No;Few clouds;5,434151;5,708537;0,568333;9,5006;354;1269;1623
38;7/02/2020;Springer;No; Partly    cloudy;4,768349;6,271926;0,738333;3,0423561;120;1592;1712
39;8/02/2020;Springer;No; Partly cloudy;2,379151;1,317562;0,537917;24,25065;64;1466;1530
40;9/02/2020;Springer;No;Mist + Few clouds;-1,665199;-1,218699;0,494783;12,652213;53;1552;1605
41;10/02/2020;Springer;No;Few clouds;-1,215644;-0,971244;0,437391;14,869645;47;1491;1538
42;11/02/2020;Springer;No; Partly    cloudy;0,887277;2,034923;0,506364;7,27285;149;1597;1746
43;12/02/2020;Springer;No; Partly    cloudy;2,4575;2,948838;0,544167;13,625589;288;1184;1472
44;13/02/2020;Springer;No;Few clouds;6,876534;7,233311;0,457391;17,479161;397;1192;1589
45;14/02/2020;Springer;No; Partly    cloudy;11,505;10,72245;0,375833;27,999836;208;1705;1913
46;15/02/2020;Springer;No;Clear;4,506089;3,950878;0,314348;19,522058;140;1675;1815
47;16/02/2020;Springer;No; Partly    cloudy;6,958267;6,8614;0,423478;16,869997;218;1897;2115
48;17/02/2020;Springer;No;Few clouds;12,484151;12,146926;0,505;15,416968;259;2216;2475
49;18/02/2020;Springer;No;Few clouds;16,518349;16,063201;0,516667;17,749975;579;2348;2927
50;19/02/2020;Springer;No; Partly    cloudy;10,760849;10,395988;0,187917;34,000021;532;1103;1635
51;20/02/2020;Springer;No; Partly    cloudy;5,405199;5,03451;0,407826;14,956745;639;1173;1812
52;21/02/2020;Springer;Yes;Mist + Cloudy;6,256651;5,351525;0,605;20,625682;195;912;1107
53;22/02/2020;Springer;No; Partly cloudy;0,564434;0,743551;0,577778;13,110761;74;1376;1450
54;23/02/2020;Springer;No;Clear;2,421733;3,548699;0,423043;6,305571;139;1778;1917
55;24/02/2020;Springer;No;Mist + Few clouds;5,895644;5,591977;0,697391;16,783232;100;1707;1807
56;25/02/2020;Springer;No;Mist + Cloudy;9,124356;8,471667;0,712174;23,218113;120;1341;1461
57;26/02/2020;Springer;No;Few clouds;5,2775;5,263024;0,537917;12,500257;424;1545;1969
58;27/02/2020;Springer;No; Partly    cloudy;8,143466;8,502123;0,68;8,391616;694;1708;2402
59;28/02/2020;Springer;No;Mist + Cloudy;11,141831;10,805546;0,876364;19,408962;81;1365;1446
60;1/03/2020;Springer;No;Few clouds;4,533349;4,402313;0,535;14,500475;137;1714;1851
61;2/03/2020;Springer;No; Partly    cloudy;7,745;7,043337;0,449583;20,624811;231;1903;2134
62;3/03/2020;Springer;No;Clear;1,321651;1,406251;0,318333;15,125518;123;1562;1685
63;4/03/2020;Springer;No;Mist + Few clouds;4,298349;4,016913;0,610417;13,624182;214;1730;1944
64;5/03/2020;Springer;No;Mist + Cloudy;10,055849;9,802613;0,789167;16,875357;640;1437;2077
65;6/03/2020;Springer;No;Mist + Cloudy;9,696534;9,213844;0,948261;23,000229;114;491;605
66;7/03/2020;Springer;No;Few clouds;4,301733;3,207667;0,551304;22,870584;244;1628;1872
67;8/03/2020;Springer;No; Partly cloudy;5,7475;6,2128;0,420833;8,08355;316;1817;2133
68;9/03/2020;Springer;No;Mist + Broken clouds;5,904151;5,470576;0,775417;14,75005;191;1700;1891
69;10/03/2020;Springer;No;Light Rain + Scattered clouds;10,287277;10,126396;0;17,545759;46;577;623
70;11/03/2020;Springer;No;Mist + Broken clouds;6,876534;6,335;0,649565;15,60899;247;1730;1977
71;12/03/2020;Springer;No; Partly cloudy;7,470849;7,31025;0,594583;14,791925;724;1408;2132
72;13/03/2020;Springer;No; Partly cloudy;10,064356;9,864277;0,527391;18,130468;982;1435;2417
73;14/03/2020;Springer;No; Partly    cloudy;7,285199;7,604;0,496957;9,174042;359;1687;2046
74;15/03/2020;Springer;No;Mist + Few clouds;6,917377;6,954366;0,655652;12,348703;289;1767;2056
75;16/03/2020;Springer;No;Mist;9,165199;9,24571;0,776522;13,608839;321;1871;2192
76;17/03/2020;Springer;No;Few clouds;11,505;11,285651;0,602917;14,041793;424;2320;2744
77;18/03/2020;Springer;No; Partly    cloudy;17,38;16,769423;0,525217;15,478139;884;2355;3239
78;19/03/2020;Springer;No;Few clouds;14,2075;13,926675;0,379167;24,667189;1424;1693;3117
79;20/03/2020;Springer;No; Partly    cloudy;7,6275;7,31025;0,47375;13,917307;1047;1424;2471
80;21/03/2020;Summer;No;Mist + Broken clouds;12,230445;11,257545;0,737391;19,348461;401;1676;2077
81;22/03/2020;Summer;No;Few clouds;12,758349;12,710174;0,624583;15,12525;460;2243;2703
82;23/03/2020;Summer;No;Mist;8,306979;7,883133;0,839565;15,695487;203;1918;2121
83;24/03/2020;Summer;No;Mist;5,395;4,729151;0,805833;16,333729;166;1699;1865
84;25/03/2020;Summer;No; Partly    cloudy;4,415849;4,046664;0,495;15,458575;300;1910;2210
85;26/03/2020;Summer;No;Clear;4,494151;4,105837;0,394167;14,041257;981;1515;2496
86;27/03/2020;Summer;No;Mist + Cloudy;3,893021;3,765933;0,493913;12,3481;472;1221;1693
87;28/03/2020;Summer;No;Few clouds;4,424356;4,105978;0,302174;14,217668;222;1806;2028
88;29/03/2020;Summer;No;Clear;6,2175;5,766676;0,314167;15,208732;317;2108;2425
89;30/03/2020;Summer;No;Mist + Broken clouds;6,1;5,97545;0,646667;11,583496;168;1368;1536
90;31/03/2020;Summer;No;Snow;4,611651;4,106025;0,918333;14,582282;179;1506;1685
91;1/04/2020;Summer;No;Mist + Broken clouds;6,1;5,322338;0,68625;17,333436;307;1920;2227
92;2/04/2020;Summer;No;Mist + Broken clouds;6,805;6,834939;0,65375;13,208782;898;1354;2252
93;3/04/2020;Summer;No;Few clouds;9,781651;9,802049;0,48;12,208271;1651;1598;3249
94;4/04/2020;Summer;No; Partly    cloudy;18,946651;17,517663;0,42625;25,833257;734;2381;3115
95;5/04/2020;Summer;No;Mist + Few clouds;11,465849;10,72245;0,642083;26,000489;167;1628;1795
96;6/04/2020;Summer;No; Partly    cloudy;10,369151;10,217576;0,470833;17,625221;413;2395;2808
97;7/04/2020;Summer;No;Clear;12,5625;12,383712;0,602917;10,874904;571;2570;3141
98;8/04/2020;Summer;No;Mist + Broken clouds;7,784151;7,250513;0,83625;15,208464;172;1299;1471
99;9/04/2020;Summer;No;Mist + Few clouds;8,0975;8,051863;0,8775;8,916561;879;1576;2455
100;10/04/2020;Summer;No;Mist + Few clouds;;12,056639;0,8575;9,833389;1188;1707;2895
101;11/04/2020;Summer;No;Mist + Broken clouds;19,995644;18,565199;0,716956;21,739758;855;2493;3348
102;12/04/2020;Summer;No;Mist;15,6175;15,173538;0,739167;18,416893;257;1777;2034
103;13/04/2020;Summer;No;Mist + Few clouds;11,3875;11,612301;0,819167;16,791339;209;1953;2162
104;14/04/2020;Summer;No;Clear;13,9725;13,748874;0,540417;7,4169;529;2738;3267
105;15/04/2020;Summer;Yes; Partly cloudy;12,993349;12,769911;0,67125;15,167125;642;2484;3126
106;16/04/2020;Summer;No;Light Rain + Scattered clouds;12,249151;11,998124;0,888333;22,834136;121;674;795
107;17/04/2020;Summer;No; Partly cloudy;13,463349;12,947712;0,479583;20,334232;1558;2186;3744
108;18/04/2020;Summer;No; Partly cloudy;16,0875;15,647862;0,5425;10,958989;669;2760;3429
109;19/04/2020;Summer;No;Mist;15,774151;14,995126;0,665833;10,584057;409;2795;3204
110;20/04/2020;Summer;No; Partly cloudy;19,965;18,526424;0,614167;16,208975;613;3331;3944
111;21/04/2020;Summer;No;Few clouds;13,580849;13,332924;0,407083;21,792286;745;3444;4189
112;22/04/2020;Summer;No;Mist + Cloudy;7,823349;7,131838;0,729583;14,707907;177;1506;1683
113;23/04/2020;Summer;No;Mist + Cloudy;13,62;13,155687;0,887917;15,458575;1462;2574;4036
114;24/04/2020;Summer;No;Mist + Cloudy;19,338349;17,932861;0,810833;12,875725;1710;2481;4191
115;25/04/2020;Summer;No;Clear;20,513349;19,0015;0,776667;12,417311;773;3300;4073
116;26/04/2020;Summer;No; Partly    cloudy;21,688349;19,921901;0,729167;21,8755;678;3722;4400
117;27/04/2020;Summer;No;Mist;21,14;19,031674;0,835417;20,9174;547;3325;3872
118;28/04/2020;Summer;No;Mist + Cloudy;21,0225;19,209663;0,700833;21,500836;569;3489;4058
119;29/04/2020;Summer;No; Partly    cloudy;15,97;15,380761;0,457083;16,084221;878;3717;4595
120;30/04/2020;Summer;No;Few clouds;14,2075;13,808987;0,503333;15,750025;1965;3347;5312
121;1/05/2020;Summer;No;Mist + Cloudy;13,228349;13,065588;0,762083;7,125718;1138;2213;3351
122;2/05/2020;Summer;No;Mist + Broken clouds;17,810849;17,043151;0,73;12,291418;847;3554;4401
123;3/05/2020;Summer;No;Mist + Cloudy;20,983349;19,357713;0,697083;22,958689;603;3848;4451
124;4/05/2020;Summer;No;Mist + Cloudy;11,465849;11,01855;0,737083;22,042732;255;2378;2633
125;5/05/2020;Summer;No; Partly    cloudy;13,580849;12,770099;0,444167;19,791264;614;3819;4433
126;6/05/2020;Summer;No; Partly cloudy;14,520849;14,283499;0,59;15,292482;894;3714;4608
127;7/05/2020;Summer;No; Partly cloudy;16,44;16,093187;0,54125;10,75015;1612;3102;4714
128;8/05/2020;Summer;No;Few clouds;16,831651;16,389851;0,631667;5,0007125;1401;2932;4333
129;9/05/2020;Summer;No; Partly cloudy;17,0275;16,686562;0,58875;11,792;664;3698;4362
130;10/05/2020;Summer;No; Partly cloudy;17,0275;16,567887;0,489167;7,749957;694;4109;4803
131;11/05/2020;Summer;No;Few clouds;17,4975;16,8348;0,632917;8,083014;550;3632;4182
132;12/05/2020;Summer;No; Partly    cloudy;17,145;16,598061;0,7475;12,707689;695;4169;4864
133;13/05/2020;Summer;No;Mist + Cloudy;16,0875;15,2321;0,863333;12,041575;692;3413;4105
134;14/05/2020;Summer;No;Mist + Few clouds;16,479151;15,529563;0,9225;9,04165;902;2507;3409
135;15/05/2020;Summer;No;Mist + Cloudy;18,4375;17,192;10,867083;10,249593;1582;2971;4553
136;16/05/2020;Summer;No; Partly    cloudy;19,1425;17,874064;0,787917;8,500357;773;3185;3958
137;17/05/2020;Summer;No;Mist + Broken clouds;18,398349;17,310863;0,837917;18,582718;678;3445;4123
138;18/05/2020;Summer;No;Mist;17,85;16,776426;0,87;13,499964;536;3319;3855
139;19/05/2020;Summer;No;Mist + Broken clouds;16,949151;16,004874;0,829583;7,250271;735;3840;4575
140;20/05/2020;Summer;No;Clear;17,223349;16,864974;0,719583;8,375871;909;4008;4917
141;21/05/2020;Summer;No;Few clouds;20,3175;18,882825;0,626667;8,08355;2258;3547;5805
142;22/05/2020;Summer;No; Partly    cloudy;20,395849;19,0015;0,749583;9,916536;1576;3084;4660
143;23/05/2020;Summer;No;Mist + Few clouds;21,688349;19,743912;0,81;15,667414;836;3438;4274
144;24/05/2020;Summer;No;Mist + Cloudy;23,02;20,426211;0,740833;13,875164;659;3833;4492
145;25/05/2020;Summer;No; Partly cloudy;23,059151;20,930474;0,69625;10,333611;740;4238;4978
146;26/05/2020;Summer;No; Partly    cloudy;25,291651;22,770336;0,6775;13,376014;758;3919;4677
147;27/05/2020;Summer;No;Few clouds;24,038349;21,939376;0,65375;16,125493;871;3808;4679
148;28/05/2020;Summer;No; Partly cloudy;22,824151;20,781813;0,729583;15,416164;2001;2757;4758
149;29/05/2020;Summer;No; Partly cloudy;23,3725;20,93085;0,81875;14,333846;2355;2433;4788
150;30/05/2020;Summer;Yes; Partly    cloudy;26,466651;23,541324;0,685;8,792075;1549;2549;4098
151;31/05/2020;Summer;No; Partly    cloudy;28,425;26,093001;0,636667;7,459043;673;3309;3982
152;1/06/2020;Summer;No;Mist + Cloudy;27,915849;25,885449;0,677083;13,875164;513;3461;3974
153;2/06/2020;Summer;No;Few clouds;25,605;22,265274;0,305;19,583229;736;4232;4968
154;3/06/2020;Summer;No;Few clouds;21,14;19,595251;0,354167;16,959107;898;4414;5312
155;4/06/2020;Summer;No;Clear;21,845;19,950712;0,45625;8,250514;1869;3473;5342
156;5/06/2020;Summer;No;Mist + Broken clouds;22,471651;20,989788;0,6525;9,292364;1685;3221;4906
157;6/06/2020;Summer;No; Partly cloudy;23,881651;21,227326;0,6;8,167032;673;3875;4548
158;7/06/2020;Summer;No;Clear;25,2525;22,82965;0,597917;12,583136;763;4070;4833
159;8/06/2020;Summer;No;Few clouds;28,464151;26,182113;0,622083;9,166739;676;3725;4401
160;9/06/2020;Summer;No;Mist + Few clouds;29,991651;27,606213;0,568333;10,042161;563;3352;3915
161;10/06/2020;Summer;No;Clear;27,485;25,054724;0,605;9,417118;815;3771;4586
162;11/06/2020;Summer;No;Clear;26,075;23,867786;0,654583;10,37495;1729;3237;4966
163;12/06/2020;Summer;No; Partly cloudy;24,5475;22,236275;0,747917;10,958989;1467;2993;4460
164;13/06/2020;Summer;No; Partly cloudy;21,845;20,277738;0,494583;20,45845;863;4157;5020
165;14/06/2020;Summer;No;Clear;20,395849;19,802662;0,507083;18,041961;727;4164;4891
166;15/06/2020;Summer;No; Partly cloudy;21,453349;19,624438;0,471667;11,250104;769;4411;5180
167;16/06/2020;Summer;No;Mist + Few clouds;21,531651;19,981262;0,688333;13,833557;545;3222;3767
168;17/06/2020;Summer;No;Clear;22,510849;20,218001;0,735833;9,582943;863;3981;4844
169;18/06/2020;Summer;No; Partly cloudy;24,743349;22,265838;0,670417;8,000336;1807;3312;5119
170;19/06/2020;Summer;No;Mist + Few clouds;24,860849;22,354762;0,666667;6,834;1639;3105;4744
171;20/06/2020;Summer;No;Mist;21,845;19,981262;0,74625;10,416825;699;3311;4010
172;21/06/2020;Fall;No;Mist + Broken clouds;23,999151;21,969362;0,770417;11,458675;774;4061;4835
173;22/06/2020;Fall;No; Partly    cloudy;26,466651;24,609963;0,7075;11,541554;661;3846;4507
174;23/06/2020;Fall;No;Mist + Few clouds;26,231651;24,610151;0,703333;15,999868;746;4044;4790
175;24/06/2020;Fall;No;Clear;26,035849;22,859401;0,573333;14,875675;969;4022;4991
176;25/06/2020;Fall;No; Partly cloudy;24,665;22,235711;0,483333;14,041257;1782;3420;5202
177;26/06/2020;Fall;No; Partly cloudy;23,96;21,968563;0,513333;6,3337311;1920;3385;5305
178;27/06/2020;Fall;No;Mist + Cloudy;24,0775;21,939188;0,658333;7,208396;854;3854;4708
179;28/06/2020;Fall;No;Few clouds;26,975849;24,550226;0,634167;9,666961;732;3916;4648
180;29/06/2020;Fall;No; Partly cloudy;26,231651;22,770336;0,497917;17,542007;848;4377;5225
181;30/06/2020;Fall;No;Clear;24,743349;21,939376;0,434167;12,415904;1027;4488;5515
182;1/07/2020;Fall;No;Clear;25,9575;22,651614;0,39625;6,874736;1246;4116;5362
183;2/07/2020;Fall;No; Partly cloudy;26,701651;23,363476;0,444583;7,709154;2204;2915;5119
184;3/07/2020;Fall;No;Mist + Few clouds;25,683349;23,423025;0,6825;15,333486;2282;2367;4649
185;4/07/2020;Fall;Yes;Mist + Few clouds;26,153349;23,274599;0,637917;5,4591064;3065;2978;6043
186;5/07/2020;Fall;No;Few clouds;27,093349;24,727886;0,590417;8,459286;1031;3634;4665
187;6/07/2020;Fall;No;Clear;25,84;24,224751;0,743333;10,042161;784;3845;4629
188;7/07/2020;Fall;No; Partly cloudy;27,25;24,282937;0,65125;10,6664;754;3838;4592
189;8/07/2020;Fall;No;Mist + Broken clouds;25,330849;23,512701;0,757917;15,083643;692;3348;4040
190;9/07/2020;Fall;No;Few clouds;26,466651;23,215426;0,609167;11,250104;1988;3348;5336
191;10/07/2020;Fall;No;Clear;27,1325;24,431175;0,578333;12,292557;1743;3138;4881
192;11/07/2020;Fall;No;Few clouds;27,8375;26,300788;0,635833;18,916579;723;3363;4086
193;12/07/2020;Fall;No;Few clouds;29,325849;26,745925;0,559167;13,417018;662;3596;4258
194;13/07/2020;Fall;No; Partly cloudy;27,093349;24,401988;0,631667;9,790911;748;3594;4342
195;14/07/2020;Fall;No; Partly    cloudy;23,999151;21,849888;0,47625;16,124689;888;4196;5084
196;15/07/2020;Fall;No; Partly    cloudy;23,176651;21,345437;0,59125;12,249811;1318;4220;5538
197;16/07/2020;Fall;No; Partly cloudy;24,273349;21,998361;0,585;13,958914;2418;3505;5923
198;17/07/2020;Fall;No; Partly cloudy;25,800849;23,482151;0,604167;16,417211;2006;3296;5302
199;18/07/2020;Fall;No; Partly cloudy;27,093349;25,084475;0,65125;14,458868;841;3617;4458
200;19/07/2020;Fall;No; Partly    cloudy;28,503349;27,131513;0,650417;8,7502;752;3789;4541
201;20/07/2020;Fall;No; Partly cloudy;28,111651;27,10195;0,707083;7,625739;644;3688;4332
202;21/07/2020;Fall;No;Mist + Cloudy;30,305;30,839437;0,69125;14,875407;632;3152;3784
203;22/07/2020;Fall;No;Few clouds;31,871651;31,522112;0,580417;8,9177;562;2825;3387
204;23/07/2020;Fall;No; Partly    cloudy;31,910849;29,801489;0,5;8,791807;987;2298;3285
205;24/07/2020;Fall;No; Partly cloudy;31,01;29,356963;0,550833;11,334457;1050;2556;3606
206;25/07/2020;Fall;No;Clear;26,936651;25,885026;0,757083;6,0841561;568;3272;3840
207;26/07/2020;Fall;No;Few clouds;28,268349;24,758013;0,540833;13,417286;750;3840;4590
208;27/07/2020;Fall;No; Partly    cloudy;28,425;24,461349;0,402917;12,292021;755;3901;4656
209;28/07/2020;Fall;No;Clear;28,620849;26,7753;0,583333;11,958093;606;3784;4390
210;29/07/2020;Fall;No; Partly cloudy;31,401651;28,940449;0,5425;11,667246;670;3176;3846
211;30/07/2020;Fall;No; Partly cloudy;29,795849;26,241239;0,465833;11,291979;1559;2916;4475
212;31/07/2020;Fall;No;Few clouds;29,874151;26,300412;0,480833;11,042471;1524;2778;4302
213;1/08/2020;Fall;No; Partly cloudy;28,268349;25,054724;0,550833;10,500039;729;3537;4266
214;2/08/2020;Fall;No;Clear;28,816651;25,232337;0,49125;13,79195;801;4044;4845
215;3/08/2020;Fall;No;Mist + Cloudy;26,388349;23,957039;0,6575;9,084061;467;3107;3574
216;4/08/2020;Fall;No;Mist + Cloudy;25,37;23,245036;0,7575;13,20905;799;3777;4576
217;5/08/2020;Fall;No;Clear;25,409151;22,858649;0,630833;12,374632;1023;3843;4866
218;6/08/2020;Fall;No;Mist + Broken clouds;25,683349;23,779238;0,755;15,29275;1521;2773;4294
219;7/08/2020;Fall;No;Clear;26,8975;25,618724;0,752917;13,499629;1298;2487;3785
220;8/08/2020;Fall;No; Partly    cloudy;27,955;25,054301;0,592083;12,875725;846;3480;4326
221;9/08/2020;Fall;No; Partly    cloudy;28,425;26,033687;0,570417;10,125107;907;3695;4602
222;10/08/2020;Fall;No;Few clouds;28,033349;24,194201;0,424167;13,417286;884;3896;4780
223;11/08/2020;Fall;No;Few clouds;25,7225;22,621487;0,42375;11,041332;812;3980;4792
224;12/08/2020;Fall;No;Few clouds;25,291651;22,739974;0,415;8,416607;1051;3854;4905
225;13/08/2020;Fall;No;Mist;24,234151;22,355326;0,729583;14,167418;1504;2646;4150
226;14/08/2020;Fall;No;Mist + Cloudy;23,803349;21,346236;0,8175;14,916411;1338;2482;3820
227;15/08/2020;Fall;No;Few clouds;23,294151;20,959849;0,712083;13,999918;775;3563;4338
228;16/08/2020;Fall;No; Partly    cloudy;24,939151;22,354339;0,578333;15,834043;721;4004;4725
229;17/08/2020;Fall;No; Partly    cloudy;25,996651;23,333537;0,575417;9,625689;668;4026;4694
230;18/08/2020;Fall;No; Partly    cloudy;;23,126126;0,654583;15,624936;639;3166;3805
231;19/08/2020;Fall;No;Mist + Cloudy;24,195;21,761387;0,722917;9,333636;797;3356;4153
232;20/08/2020;Fall;No;Clear;24,7825;22,502812;0,674167;6,999289;1914;3277;5191
233;21/08/2020;Fall;No;Few clouds;25,409151;23,749675;0,77;16,666518;1249;2624;3873
234;22/08/2020;Fall;No;Clear;24,508349;21,997938;0,47;18,54225;833;3925;4758
235;23/08/2020;Fall;No; Partly cloudy;22,119151;20,485149;0,455417;9,833121;1281;4614;5895
236;24/08/2020;Fall;No;Clear;23,646651;21,642524;0,605;16,958236;949;4181;5130
237;25/08/2020;Fall;No;Mist;24,155849;22,355138;0,771667;14,125811;435;3107;3542
238;26/08/2020;Fall;No; Partly cloudy;24,9;23,007451;0,76125;5,6254875;768;3893;4661
239;27/08/2020;Fall;No;Mist + Few clouds;23,96;21,871132;0,85;25,166339;226;889;1115
240;28/08/2020;Fall;No; Partly    cloudy;25,231773;22,454073;0,561765;20,412153;1415;2919;4334
241;29/08/2020;Fall;No; Partly    cloudy;21,923349;20,574026;0,554583;10,708275;729;3905;4634
242;30/08/2020;Fall;No; Partly    cloudy;22,040849;19,951088;0,548333;8,375536;775;4429;5204
243;31/08/2020;Fall;No; Partly cloudy;22,863349;20,722687;0,597917;5,5833311;688;4370;5058
244;1/09/2020;Fall;No;Clear;22,785;20,901287;0,639167;9,500332;783;4332;5115
